2020-03-14 18:42:28,,941,Yudi29559419,Raj4Purwa,False,"@Raj4Purwa Siaap 
#IndonesiabutuhPemimpin","[{'text': 'IndonesiabutuhPemimpin', 'indices': [18, 41]}]",,210,36,0
2020-03-14 18:42:29,"Bobotoh, Liverpooldian & Oposan ",11399,redspool33,,False,"RT @hermana_t: mujur tak dapat diraih

malang tak dapat ditolak

kini lingkar istana sudah terpapar corona

lantas kalian mau bersembunyi d",[],Bandung,473,339,0
2020-03-14 18:42:29,Ibu rumah tangga biasa,17414,dey_mamanya2dha,,False,RT @octavn3: #IndonesiaButuhPemimpin https://t.co/nE7JLqVTl1,"[{'text': 'IndonesiaButuhPemimpin', 'indices': [13, 36]}]",,572,519,0
2020-03-14 18:42:30,kegembiraan dan kesedihan itu satu paket .,4347,bahar_pradana,,False,"RT @msaid_didu: Berbeda dg negara lain, keuangan negara kita tdk kuat menyediakan sarana kesehatan yg cukup menghadapi jika terjadi penyeba",[],"Brebes, Indonesia",882,838,0
2020-03-14 18:42:34,Ibu rumah tangga biasa,17415,dey_mamanya2dha,,False,"RT @aqsalM12: Tagar #IndonesiabutuhPemimpin lg trending. Gini ya, pemimpin yg hebat terlahir dari rakyat yg hebat jg!

Coba deh ngaca, apak","[{'text': 'IndonesiabutuhPemimpin', 'indices': [20, 43]}]",,572,519,0
2020-03-14 18:42:35,,432,AlFachry_Niie,,False,"RT @Raj4Purwa: Nie tagar harus trending topic Indonesia terus sampai besok sore

#IndonesiaButuhPemimpin

Setuju  RT/Like + tagar","[{'text': 'IndonesiaButuhPemimpin', 'indices': [81, 104]}]",,1239,1248,0
2020-03-14 18:42:35,sedikit berbicara banyak makan,1219,aris_cule,,False,"RT @msaid_didu: Bapak Presiden @jokowi yth, adanya surat dan telpon dari Dirjen WHO kepada Bapak serta keraguan bbrp pimpinan negara atas l",[],,112,16,0
2020-03-14 18:42:35,Katakan Kebenaran Walau Itu Lucu Dan Memalukan.,18594,kuaajajaalajuja,_Naoliviea__,False,"@_Naoliviea__ @msaid_didu hanya buzzeRp yg malu, kita yg waras mah engga, emang harus #IndonesiaButuhPemimpin 
#IndonesiaButuhPemimpin","[{'text': 'IndonesiaButuhPemimpin', 'indices': [86, 109]}, {'text': 'IndonesiaButuhPemimpin', 'indices': [111, 134]}]",,437,287,0
2020-03-14 18:42:36,jika itu sebuah kebenaran maka katakanlah BENAR dan jika itu salah maka katakanlah SALAH,1536,bhoim_a,,False,"RT @do_ra_dong: Untuk sobat yang berdomisili diwilayah Jawa Timur, agar lebih siap dan sigap kedepannya

Dari data yang kami terima, suspec",[],West java indonesia,1987,1202,0
2020-03-14 18:42:37,Tutorial Ms-Office,68825,abyalif74_noni,zuhairimisrawi,False,@zuhairimisrawi Cuma pandai ngibul...#IndonesiaButuhPemimpin,"[{'text': 'IndonesiaButuhPemimpin', 'indices': [37, 60]}]","Aceh, Indonesia",3047,3975,0
